id,title,secret,weight
ID,Title,Complete secret,Random weight
none,None,,0
upper_world_feeds_on_ascenders,Upper-Realm Powers Feed on Ascended Cultivators,"Ascension is not transcendence, but entry into a pasture kept by upper-realm powers; cultivators who reach the peak of this world are only ripened spirit herbs and blood food.",10
fake_sky,This World's Sky Is False,"The sky is not a natural firmament, but a vast masking barrier; the sun, moon, and stars are projections, and the true world is sealed inside some vessel or prison.",10
mad_heavenly_dao,The Will of Heaven Has Gone Mad,"The will of Heaven that sustains this world's order has broken down; tribulation lightning, fortune, karma, and lifespan still operate, but more and more like the spasms of a deranged thing.",10
simulated_world_code,The World Is Simulated Code,"The cultivation world is a simulation: spiritual qi, realms, fate, and events are all driven by unseen code; what cultivators call enlightenment is only contact with rule interfaces.",10
spiritual_qi_is_dead_memories,Spiritual Qi Is the Memory of the Dead,"Heaven-and-earth spiritual qi is not born naturally, but is the diluted echo of memories ground down after generations of living beings die; when cultivators absorb qi, they are devouring the broken dreams of countless dead.",10
sects_on_colossal_corpses,All Sects Are Built on Colossal Corpses,"The famed mountains and rivers of this world are not natural formations, but weathered shells of ancient colossal beasts; the spirit veins beneath the great sects are actually marrow and meridians that have not yet cooled.",10
reincarnation_is_copying,Reincarnation Does Not Exist; Rebirth Is Copying,"Mortals believe souls reincarnate, but so-called rebirth is only Heaven manufacturing copies from residual information; the true dead have never returned.",10
yao_are_previous_humans,The Yao Were Humans from the Previous Era,"The yao are not an alien race, but the warped surviving descendants of humanity from a previous era after the world's reset; the war between humans and yao is kin slaughtering kin after forgetting itself.",10
realms_are_artificial_shackles,Cultivation Realms Are Artificial Shackles,"Qi Refining, Foundation Establishment, Golden Core, Nascent Soul, and the other realms are not the natural Great Dao, but level locks imposed by ancient beings to limit cultivators' growth.",10
moon_is_an_eye,The Moon Is an Eye Watching This World,"The moon is not a star, but a gigantic eye suspended beyond the heavens; moonlight is its gaze, and cultivators who absorb it are gradually recorded and marked.",10
secret_realms_are_tumors,Secret Realms Are Tumors Grown by the World,"Secret realms are not blessed grotto-heavens, but lesions formed by erroneous overgrowth of the world's rules; cultivators who enter them for treasure are feeding on diseased tissue of the world.",10
dead_gods_answer_prayers,The Gods and Buddhas Are Dead; Their Corpses Answer Prayers,"The gods and buddhas sensed through worldly rites are not living deities, but automatic responses left in ancient divine corpses; the more believers there are, the more those corpses begin to twitch again.",10
