id,secret_id,order,angle,text,trigger_kind
ID,秘密ID,順序,断片の角度,断片本文,トリガー種別
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,飛昇に帰還なし,飛昇した修士は一度も本当に帰ってきていない。宗門の典籍には「霞光の接引」とだけ記され、上界からの伝言を残した者は誰もいない。,city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,天幕の巨顔,ある飛昇雷劫の後、天幕に巨大な顔が一瞬浮かんだ。雲の向こうから供物を見下ろしているかのようだった。,insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,飛昇台の骨粉,古い飛昇台の下には大量の焦げた骨粉が埋まっている。鑑定すると妖獣ではなく、高階修士の道骨の残滓だった。,region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,失敗した老祖,飛昇に失敗した老祖は何年も狂い、ただ繰り返した。「扉の向こうは仙界ではない。歯の隙間だ。」,city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,供犠の陣紋,一部の飛昇儀式の陣紋は「上昇」の構造ではなく、修士の精血、神魂、大道への悟りを包んで送り出す供犠陣に近い。,region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,成熟を促す仙縁,上界から時折降る「仙縁」は、いつも修士をより速い突破へ誘う。飼い主が成熟を促す餌を投げるように。,insight
fake_sky_1,fake_sky,1,星辰のずれ,空はごく短い瞬間だけちらつくことがあり、星辰の位置が天象の規律に反する形でずれる。,insight
fake_sky_2,fake_sky,2,不可視の障壁,高階修士が飛昇に挑む時、天外へ届かないのではない。ある高度で、見えない壁にぶつかるのだ。,region
fake_sky_3,fake_sky,3,古書の星図,古書に記された星図は今夜の星空とまったく異なるが、地脈、山河、宗門の方位は一つ一つ対応している。,city
fake_sky_4,fake_sky,4,天外の残骸,辺境の村里で、かつて誰かが「天外からの来客」の残骸を拾った。それは血肉ではなく、玉、鉄、透明な晶片を組み合わせたもののようだった。,region
fake_sky_5,fake_sky,5,投影の遅延,一部の秘境の空は外界の空より数息遅れており、二つの投影が別々の陣盤で動いているかのようだ。,city
fake_sky_6,fake_sky,6,符線の天幕,ごく少数の悟道者は瀕死の時、空の裏側に無数の細い符線を見た。日月星辰はその線上の光点にすぎなかった。,insight
mad_heavenly_dao_1,mad_heavenly_dao,1,歪む法則,世界の法則は時に奇妙にねじれ、同じ霊草が日によって正反対の薬性を示す。,region
mad_heavenly_dao_2,mad_heavenly_dao,2,蒼白の巨眼,通玄境以上の真人はしばしば同じ悪夢を見る。天穹の奥で、蒼白の巨眼が泣き笑いを続けている。,insight
mad_heavenly_dao_3,mad_heavenly_dao,3,異常な劫雷,この百年ほど劫雷は異常を示している。徳ある者が魂まで砕かれ、悪徒が逆に劫雷で聖体へ洗練されることがある。,city
mad_heavenly_dao_4,mad_heavenly_dao,4,扶乩の譫言,古代の祭天文書では天道の応答は簡潔で荘厳だった。近代の扶乩で得られるものは、反復、誤字、無意味な譫言に満ちている。,city
mad_heavenly_dao_5,mad_heavenly_dao,5,結ばれた因果,ある者が因果の秘術で仇を追ったところ、手がかりは自分の出生以前へ戻った。因果の糸が乱雑に結ばれたかのようだった。,insight
mad_heavenly_dao_6,mad_heavenly_dao,6,天道病碑,ある古碑にはこう刻まれている。「天道は死せず、悪でもなく、病である。病める者は夢に世を造り、醒めて世を滅ぼす。」,region
simulated_world_code_1,simulated_world_code,1,空白の来歴,時おり世界には来歴不明の修士が突然現れる。彼らは完全な身分を持つが、誰もその成長過程を覚えていない。,city
simulated_world_code_2,simulated_world_code,2,改竄された記憶,修士は自分の記憶が微妙に改竄されていることに気づく。昨日修めた功法、親友の名、宗門の歴史が少しずつ違う。,insight
simulated_world_code_3,simulated_world_code,3,停止した天地,ある瀕死者たちは天地が停止するのを見たと言う。すべての人が固まり、無数の細かな文字だけが空中を流れていた。,insight
simulated_world_code_4,simulated_world_code,4,異常な符号,天機術士が命数を推演すると、時に卦象ではない文字を得る。「null」「retry」「seed」「invalid state」など、説明不能な符号である。,city
simulated_world_code_5,simulated_world_code,5,奇妙な晶板,ごく少数の霊宝の内部には陣法核心がなく、小さな方格と金属線路で覆われた奇妙な晶板だけがある。,region
simulated_world_code_6,simulated_world_code,6,世界の遅滞,重大事件が同じ月に大量に起こると、世界は一時的に遅滞する。鳥は空中で止まり、川は一コマずつ跳ぶように進む。,region
spiritual_qi_is_dead_memories_1,spiritual_qi_is_dead_memories,1,経脈の泣き笑い,深夜の吐納中、見知らぬ者の泣き声、笑い声、臨終の叫びが経脈をかすめるのを聞く修士がいる。,insight
spiritual_qi_is_dead_memories_2,spiritual_qi_is_dead_memories,2,古戦場の霊気,古戦場は霊気が最も濃いが、そこに霊脈はない。ただ無数の凡人と修士の屍骨が埋まっている。,region
spiritual_qi_is_dead_memories_3,spiritual_qi_is_dead_memories,3,見知らぬ記憶,閉関後に突破した者が、学んだことのない方言、手仕事、古い記憶を突然身につけることがある。,insight
spiritual_qi_is_dead_memories_4,spiritual_qi_is_dead_memories,4,霊石の人影,高純度の霊石を煉化すると、石の中に淡い人影が浮かぶ。多くの顔が一つの結晶に圧縮されたように。,city
spiritual_qi_is_dead_memories_5,spiritual_qi_is_dead_memories,5,浄化による枯渇,亡魂の禁地が徹底的に浄化されると、周囲の霊気は清まらず、逆に急速に枯渇する。,region
spiritual_qi_is_dead_memories_6,spiritual_qi_is_dead_memories,6,魂修の遺言,古代の魂修は遺言を残した。「霊気がどこから来るか問うな。おまえの一呼吸ごとに、千万の人々が二度目の死を迎える。」,city
sects_on_colossal_corpses_1,sects_on_colossal_corpses,1,白い鉱層,多くの宗門の地下深くには骨に似た白い鉱層があり、砕けず、月夜にはかすかに熱を帯びる。,region
sects_on_colossal_corpses_2,sects_on_colossal_corpses,2,地脈の経絡,地脈図をつなげると山河の流れではなく、巨大な生物の経絡と血管のように見える。,city
sects_on_colossal_corpses_3,sects_on_colossal_corpses,3,赤く染まる霊泉,一部の霊泉は時おり赤みを帯び、水にかすかな血腥さがあるが、修為を大きく高める。,region
sects_on_colossal_corpses_4,sects_on_colossal_corpses,4,仙山の鼓動,古籍には「仙山に脈あり、脈に鼓動あり」とあるが、後世の注釈はいつも鼓動を霊気の潮汐と解釈する。,city
sects_on_colossal_corpses_5,sects_on_colossal_corpses,5,鎮脈の息,宗門の大陣は数百年ごとに「鎮脈」しなければならず、さもなければ地下から鈍い喘ぎが聞こえる。,insight
sects_on_colossal_corpses_6,sects_on_colossal_corpses,6,山腹の眼窩,盗墓の修士が山腹で巨大な眼窩を掘り当てた。残った瞳膜には現在のすべての宗門の位置が映っていた。,region
