id,title,secret,weight
ID,タイトル,完全な秘密,ランダム重み
none,なし,,0
upper_world_feeds_on_ascenders,上界の大能は飛昇修士を血食にしている,いわゆる飛昇は超脱ではなく、上界の大能が営む牧場へ入ることにすぎない。この世界の修士は頂点まで育ったところで、熟した霊薬と血食でしかない。,10
fake_sky,この世界の空は偽物である,空は自然の天穹ではなく、巨大な偽装障壁である。日月星辰は投影にすぎず、真の世界は何らかの容器、あるいは牢獄の中に封じられている。,10
mad_heavenly_dao,天道の意志は狂っている,この世界の秩序を保つ天道の意志はすでに失調している。劫雷、気運、因果、寿命はいまだ動いているが、その動きは狂ったものの痙攣に近づいている。,10
simulated_world_code,世界はコンピューター内の模擬コードである,修仙世界は一つのシミュレーションであり、霊気、境界、運命、出来事はすべて不可視のコードに駆動されている。修士が悟道と呼ぶものは、規則のインターフェースに触れたにすぎない。,10
spiritual_qi_is_dead_memories,霊気の正体は死者の記憶である,天地の霊気は自然に生じるものではなく、幾世代もの生霊が死後に残した記憶を砕き、薄めた残響である。修士が霊気を吸うことは、本質的には無数の死者の残夢を呑むことだ。,10
sects_on_colossal_corpses,すべての宗門は巨獣の屍の上に建っている,この世界の名山大川は自然にできたものではなく、遠古の巨獣の屍骸が風化した外殻である。各大宗門の霊脈は、実はまだ冷めきらぬ巨獣の骨髄と経絡なのだ。,10
reincarnation_is_copying,輪廻は存在せず、転生は複製にすぎない,世の人々は魂魄の輪廻を信じているが、いわゆる転生とは天道が残留情報をもとに作る複製品にすぎない。本当の死者は一度も戻っていない。,10
yao_are_previous_humans,妖族は前紀元の人族である,妖族は異類ではなく、世界の再設定の中で歪んで生き残った前紀元の人族の末裔である。いわゆる人妖の争いとは、記憶を失った同族同士の殺し合いにすぎない。,10
realms_are_artificial_shackles,修煉境界は人為的に設けられた枷である,練気、築基、金丹、元嬰などの境界は自然な大道ではなく、遠古の存在が修士の成長を制限するために人為的に区切った等級の錠である。,10
moon_is_an_eye,月はこの世界を見つめる眼である,月は星辰ではなく、天外に懸かる巨大な眼である。月華はその視線であり、修士が月華を吸収すれば、しだいに記録され標を付けられていく。,10
secret_realms_are_tumors,秘境は世界に生えた腫瘍である,秘境は洞天福地ではなく、世界の規則が誤って増殖して生じた病巣である。修士が秘境に入って宝を探すことは、世界の病変組織を採食することに等しい。,10
dead_gods_answer_prayers,諸天の神仏はすでに死に、祈りに応えるのはその屍である,世の祭祀が感じ取る神仏は生きた神ではなく、遠古の神尸に残った自動反応である。信徒が増えるほど、その屍はふたたび痙攣し始める。,10
