id,title,secret,weight
ID,Tiêu đề,Bí mật đầy đủ,Trọng số ngẫu nhiên
none,Không,,0
upper_world_feeds_on_ascenders,Đại năng thượng giới lấy tu sĩ phi thăng làm huyết thực,"Cái gọi là phi thăng không phải siêu thoát, mà là bước vào bãi chăn nuôi của các đại năng thượng giới; tu sĩ cõi này tu đến đỉnh cao rốt cuộc chỉ là linh dược và huyết thực đã được nuôi chín.",10
fake_sky,Bầu trời của thế giới này là giả,"Bầu trời không phải thiên khung tự nhiên, mà là một lớp màn ngụy trang khổng lồ; mặt trời, mặt trăng và các vì sao chỉ là hình chiếu, còn thế giới thật bị phong kín trong một vật chứa hoặc nhà tù nào đó.",10
mad_heavenly_dao,Ý chí Thiên Đạo đã phát điên,"Ý chí Thiên Đạo duy trì trật tự cõi này đã rối loạn; kiếp lôi, khí vận, nhân quả và thọ số vẫn vận hành, nhưng ngày càng giống những cơn co giật của một thứ điên loạn.",10
simulated_world_code,Thế giới là một tập mã mô phỏng trong máy tính,"Thế giới tu tiên là một mô phỏng; linh khí, cảnh giới, số mệnh và sự kiện đều do một loại mã vô hình điều khiển. Cái tu sĩ gọi là ngộ đạo chỉ là chạm tới giao diện quy tắc.",10
spiritual_qi_is_dead_memories,Linh khí thực ra là ký ức của người chết,"Linh khí trời đất không tự nhiên sinh ra, mà là dư âm của ký ức bao đời sinh linh sau khi chết bị nghiền nát rồi pha loãng; tu sĩ hấp nạp linh khí, về bản chất là nuốt những giấc mộng tàn của vô số người đã khuất.",10
sects_on_colossal_corpses,Mọi tông môn đều xây trên xác cự thú,"Danh sơn đại xuyên của cõi này không hình thành tự nhiên, mà là lớp vỏ phong hóa từ thi hài cự thú viễn cổ; linh mạch của các đại tông môn thực ra là tủy xương và kinh lạc chưa nguội của cự thú.",10
reincarnation_is_copying,"Luân hồi không tồn tại, chuyển thế chỉ là sao chép","Người đời tin hồn phách luân hồi, nhưng cái gọi là chuyển thế chỉ là bản sao do Thiên Đạo tạo ra từ thông tin còn sót lại; người chết thật sự chưa từng trở về.",10
yao_are_previous_humans,Yêu tộc thực ra là nhân tộc của kỷ nguyên trước,"Yêu tộc không phải dị loại, mà là hậu duệ nhân tộc của kỷ nguyên trước còn sót lại trong biến dạng sau khi thế giới tái lập; cái gọi là nhân yêu chi tranh chỉ là đồng tộc mất trí nhớ tàn sát lẫn nhau.",10
realms_are_artificial_shackles,Cảnh giới tu luyện là xiềng xích nhân tạo,"Luyện khí, Trúc cơ, Kim đan, Nguyên anh và các cảnh giới khác không phải Đại Đạo tự nhiên, mà là khóa cấp bậc do những tồn tại viễn cổ đặt ra để hạn chế sự trưởng thành của tu sĩ.",10
moon_is_an_eye,Mặt trăng là con mắt đang nhìn cõi này,"Mặt trăng không phải tinh tú, mà là một con mắt khổng lồ treo ngoài trời; nguyệt hoa là ánh nhìn của nó, tu sĩ hấp thụ nguyệt hoa sẽ dần bị nó ghi lại và đánh dấu.",10
secret_realms_are_tumors,Bí cảnh là khối u mọc ra từ thế giới,"Bí cảnh không phải động thiên phúc địa, mà là ổ bệnh do quy tắc thế giới tăng sinh sai lệch; tu sĩ vào bí cảnh tìm bảo vật chẳng khác nào hái ăn trong mô bệnh biến của thế giới.",10
dead_gods_answer_prayers,"Chư thiên thần Phật đã chết, đáp lại lời cầu là thi thể của họ","Thần Phật mà tế tự thế gian cảm ứng được không phải thần minh còn sống, mà là phản ứng tự động còn sót lại trong thần thi viễn cổ; tín đồ càng nhiều, thi thể càng co giật trở lại.",10
