id,secret_id,order,angle,text,trigger_kind
ID,秘密ID,顺序,碎片角度,碎片文本,触发类型
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,飞升无返,飞升的修士从未真正归来，宗门典籍只记载“霞光接引”，却没有任何人留下上界传讯。,city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,天幕巨脸,某次飞升雷劫之后，天幕中曾短暂浮现一张巨脸，像是在隔着云层俯视祭品。,insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,飞升台骨粉,古老飞升台下埋有大量焦黑骨粉，经辨认并非妖兽，而是高阶修士的道骨残渣。,region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,失败老祖,一位失败飞升的老祖疯癫多年，只反复念着：“门后不是仙界，是齿缝。”,city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,献祭阵纹,部分飞升仪式的阵纹并非“上升”结构，而更像献祭阵，用于把修士的精血、神魂和大道感悟打包送出。,region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,催熟仙缘,上界偶尔降下的“仙缘”总会诱导修士更快突破，像饲主投喂催熟之物。,insight
fake_sky_1,fake_sky,1,星辰错位,天空有时会在极短瞬间闪烁，星辰的位置会出现不合天象规律的错位。,insight
fake_sky_2,fake_sky,2,不可见壁障,高阶修士冲击飞升时，并非无法抵达天外，而是在某个高度撞上一层不可见壁障。,region
fake_sky_3,fake_sky,3,古籍星图,古书中记载的星图与今夜星空完全不同，但地脉、山河与宗门方位却能一一对应。,city
fake_sky_4,fake_sky,4,天外残骸,偏远乡野曾有人捡到“天外来客”的残骸，那残骸不像血肉，倒像由玉、铁与透明晶片拼合而成。,region
fake_sky_5,fake_sky,5,投影延迟,某些秘境中的天空和外界天空存在数息延迟，仿佛两处投影由不同阵盘驱动。,city
fake_sky_6,fake_sky,6,符线天幕,极少数悟道者在濒死时看见天空背后有无数细密符线，日月星辰只是符线上的光点。,insight
mad_heavenly_dao_1,mad_heavenly_dao,1,规律扭曲,世界规律有时会诡异扭曲，同一株灵草在不同日子会呈现完全相反的药性。,region
mad_heavenly_dao_2,mad_heavenly_dao,2,苍白巨眼,通玄境界以上的真人常做同一个噩梦：苍白巨眼在天穹深处哭笑不止。,insight
mad_heavenly_dao_3,mad_heavenly_dao,3,劫雷异常,近百年劫雷出现异常，有德者被雷劈至魂飞魄散，恶徒却偶尔被劫雷洗炼成圣体。,city
mad_heavenly_dao_4,mad_heavenly_dao,4,扶乩呓语,古代祭天文书中，天道回应简洁而庄严；近代扶乩所得却充斥重复、错字和无意义呓语。,city
mad_heavenly_dao_5,mad_heavenly_dao,5,因果打结,有人以因果秘术追索仇敌，结果线索绕回自己出生之前，仿佛因果线被胡乱打结。,insight
mad_heavenly_dao_6,mad_heavenly_dao,6,天道病碑,某处古碑记录：“天道非死，非恶，乃病。病者梦中造世，醒时灭世。”,region
simulated_world_code_1,simulated_world_code,1,来历空白,有时世界会突然出现来历不明的修士，他们拥有完整身份，却没有任何人记得他们成长的过程。,city
