id,secret_id,order,angle,text,trigger_kind
ID,ID du secret,Ordre,Angle du fragment,Texte du fragment,Type de déclencheur
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,Aucun ascendant ne revient,"Les cultivateurs ascendus ne sont jamais vraiment revenus. Les archives des sectes ne parlent que de nuées rosées venues les accueillir, sans aucun message laissé depuis le monde supérieur.",city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,Visage dans le firmament,"Après une tribulation d'ascension, un immense visage apparut brièvement dans le ciel, comme s'il observait des offrandes à travers les nuages.",insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,Poudre d'os sous la plateforme,"Sous une antique plateforme d'ascension repose une grande quantité de poudre d'os calcinée. Elle ne vient pas de bêtes démoniaques, mais de restes d'os dao de cultivateurs de haut rang.",region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,L'ancêtre échoué,"Un ancêtre ayant raté son ascension sombra dans la folie pendant des années, répétant seulement : « Derrière la porte, ce n'est pas le monde immortel. C'est l'interstice des dents. »",city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,Lignes de sacrifice,"Certains motifs des rites d'ascension ne figurent pas une montée, mais ressemblent à des matrices sacrificielles qui emballent sang d'essence, âme et compréhension du Dao pour les expédier.",region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,Faveurs qui font mûrir,"Les « chances immortelles » venues parfois du monde supérieur poussent toujours les cultivateurs à percer plus vite, comme la nourriture qu'un gardien jette pour hâter la maturation.",insight
fake_sky_1,fake_sky,1,Étoiles décalées,"Le ciel vacille parfois pendant un instant infime, et les étoiles se décalent dans des positions contraires aux lois célestes.",insight
fake_sky_2,fake_sky,2,Barrière invisible,"Lorsque des cultivateurs de haut rang tentent l'ascension, ce n'est pas qu'ils ne peuvent atteindre l'au-delà du ciel : à une certaine hauteur, ils heurtent un mur invisible.",region
fake_sky_3,fake_sky,3,Cartes stellaires anciennes,"Les cartes stellaires des vieux livres ne ressemblent en rien au ciel de ce soir, mais veines telluriques, montagnes, fleuves et positions des sectes y correspondent une à une.",city
fake_sky_4,fake_sky,4,Débris d'au-delà du ciel,"Dans une campagne reculée, quelqu'un trouva jadis les restes d'un « visiteur venu d'au-delà du ciel » : non pas chair et sang, mais jade, fer et plaquettes de cristal transparent assemblés.",region
fake_sky_5,fake_sky,5,Retard de projection,"Dans certains royaumes secrets, le ciel accuse plusieurs souffles de retard sur celui du dehors, comme si deux projections étaient mues par des matrices différentes.",city
fake_sky_6,fake_sky,6,Firmament de lignes runiques,"Quelques rares illuminés, au seuil de la mort, virent derrière le ciel d'innombrables lignes runiques fines ; soleil, lune et étoiles n'étaient que des points lumineux sur ces lignes.",insight
mad_heavenly_dao_1,mad_heavenly_dao,1,Lois déformées,Les lois du monde se tordent parfois étrangement ; une même herbe spirituelle peut présenter des propriétés médicinales opposées selon le jour.,region
mad_heavenly_dao_2,mad_heavenly_dao,2,Grand oeil pâle,Les véritables maîtres au-delà du royaume Tongxuan font souvent le même cauchemar : un grand oeil pâle rit et pleure au fond du firmament.,insight
mad_heavenly_dao_3,mad_heavenly_dao,3,Foudre de tribulation anormale,"Depuis près d'un siècle, la foudre de tribulation déraille : des vertueux sont anéantis jusqu'à l'âme, tandis que des scélérats sont parfois raffinés en corps saints.",city
mad_heavenly_dao_4,mad_heavenly_dao,4,Radotage de planchette,"Dans les anciens textes sacrificiels, les réponses du Dao céleste étaient brèves et solennelles ; les messages récents de planchette débordent de répétitions, fautes et balbutiements vides.",city
mad_heavenly_dao_5,mad_heavenly_dao,5,Causalité nouée,"Quelqu'un usa d'un art karmique pour traquer son ennemi, mais la piste revint avant sa propre naissance, comme si les fils de causalité avaient été noués au hasard.",insight
mad_heavenly_dao_6,mad_heavenly_dao,6,Stèle de la maladie céleste,Une stèle ancienne dit : « Le Ciel n'est ni mort ni mauvais : il est malade. Le malade crée le monde en rêve et le détruit au réveil. »,region
simulated_world_code_1,simulated_world_code,1,Origines vides,"Des cultivateurs d'origine inconnue apparaissent parfois soudainement. Ils ont une identité complète, mais personne ne se souvient de leur croissance.",city
simulated_world_code_2,simulated_world_code,2,Souvenirs altérés,"Les cultivateurs découvrent souvent que leurs souvenirs ont été subtilement modifiés : technique d'hier, nom d'un proche ou histoire de secte diffèrent légèrement.",insight
simulated_world_code_3,simulated_world_code,3,Ciel et terre en pause,"Certains mourants affirment avoir vu le ciel et la terre s'arrêter : tous étaient figés, tandis que d'innombrables petits caractères défilaient dans l'air.",insight
simulated_world_code_4,simulated_world_code,4,Symboles anormaux,"Lorsque les devins calculent les destins, ils obtiennent parfois des mots hors hexagramme comme « null », « retry », « seed » ou « invalid state ».",city
simulated_world_code_5,simulated_world_code,5,Plaque cristalline étrange,"Quelques trésors spirituels n'ont aucun coeur de formation, seulement une plaque cristalline étrange couverte de petits carrés et de circuits métalliques.",region
simulated_world_code_6,simulated_world_code,6,Saccade du monde,"Quand de nombreux événements majeurs surviennent le même mois, le monde bégaie brièvement : les oiseaux s'arrêtent en plein vol et les rivières avancent image par image.",region
spiritual_qi_is_dead_memories_1,spiritual_qi_is_dead_memories,1,Pleurs dans les méridiens,"Lors des respirations nocturnes, certains cultivateurs entendent des inconnus pleurer, rire et crier à l'agonie dans leurs méridiens.",insight
