id,title,secret,weight
ID,Titre,Secret complet,Poids aléatoire
none,Aucun,,0
upper_world_feeds_on_ascenders,Les puissances du monde supérieur se repaissent des ascendants,"La prétendue ascension n'est pas une délivrance, mais l'entrée dans l'enclos des puissances du monde supérieur ; les cultivateurs parvenus au sommet de ce monde ne sont que des herbes spirituelles mûries et de la chair sacrificielle.",10
fake_sky,Le ciel de ce monde est faux,"Le ciel n'est pas une voûte naturelle, mais une immense barrière de camouflage ; le soleil, la lune et les étoiles ne sont que des projections, et le monde véritable est enfermé dans un contenant ou une prison.",10
mad_heavenly_dao,La volonté du Dao céleste est devenue folle,"La volonté du Dao céleste qui maintient l'ordre de ce monde s'est déréglée ; foudre de tribulation, fortune, causalité et longévité fonctionnent encore, mais de plus en plus comme les spasmes d'une chose démente.",10
simulated_world_code,Le monde est un ensemble de code simulé,"Le monde de cultivation est une simulation : qi spirituel, royaumes, destin et événements sont régis par un code invisible ; ce que les cultivateurs appellent illumination n'est qu'un contact avec les interfaces des règles.",10
spiritual_qi_is_dead_memories,Le qi spirituel est la mémoire des morts,Le qi spirituel du ciel et de la terre ne naît pas naturellement : c'est l'écho dilué des souvenirs broyés des générations de vivants après leur mort ; absorber le qi revient à dévorer les rêves brisés d'innombrables défunts.,10
sects_on_colossal_corpses,Toutes les sectes sont bâties sur des cadavres colossaux,"Les montagnes et grands fleuves de ce monde ne sont pas naturels, mais les carapaces érodées de bêtes colossales antiques ; les veines spirituelles des grandes sectes sont leur moelle et leurs méridiens encore tièdes.",10
reincarnation_is_copying,"La réincarnation n'existe pas, la renaissance n'est qu'une copie","Les hommes croient à la réincarnation des âmes, mais la prétendue renaissance n'est qu'une copie fabriquée par le Dao céleste à partir d'informations résiduelles ; les véritables morts ne sont jamais revenus.",10
yao_are_previous_humans,Les yao sont les humains de l'ère précédente,"Les yao ne sont pas des êtres étrangers, mais les descendants déformés des humains de l'ère précédente après la réinitialisation du monde ; la guerre entre humains et yao est un massacre fratricide après l'oubli.",10
realms_are_artificial_shackles,Les royaumes de cultivation sont des entraves artificielles,"Raffinement du qi, Fondation, Noyau d'or, Âme naissante et les autres royaumes ne relèvent pas du Grand Dao naturel : ce sont des verrous de niveau instaurés par des êtres antiques pour limiter la croissance des cultivateurs.",10
moon_is_an_eye,La lune est un oeil qui observe ce monde,"La lune n'est pas un astre, mais un oeil gigantesque suspendu au-delà des cieux ; son éclat est son regard, et les cultivateurs qui l'absorbent sont peu à peu consignés et marqués.",10
secret_realms_are_tumors,Les royaumes secrets sont des tumeurs du monde,"Les royaumes secrets ne sont pas des terres bénies, mais des lésions nées d'une prolifération erronée des règles du monde ; y chercher des trésors revient à se nourrir dans des tissus malades du monde.",10
dead_gods_answer_prayers,Dieux et bouddhas sont morts ; leurs cadavres répondent aux prières,"Les dieux et bouddhas perçus par les rites du monde ne sont pas des divinités vivantes, mais les réactions automatiques restées dans d'anciens cadavres divins ; plus les fidèles sont nombreux, plus ces corps recommencent à tressaillir.",10
