id,secret_id,order,angle,text,trigger_kind
ID,秘密ID,順序,碎片角度,碎片文本,觸發類型
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,飛昇無返,飛昇的修士從未真正歸來，宗門典籍只記載「霞光接引」，卻沒有任何人留下上界傳訊。,city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,天幕巨臉,某次飛昇雷劫之後，天幕中曾短暫浮現一張巨臉，像是在隔著雲層俯視祭品。,insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,飛昇台骨粉,古老飛昇台下埋有大量焦黑骨粉，經辨認並非妖獸，而是高階修士的道骨殘渣。,region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,失敗老祖,一位失敗飛昇的老祖瘋癲多年，只反覆念著：「門後不是仙界，是齒縫。」,city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,獻祭陣紋,部分飛昇儀式的陣紋並非「上升」結構，而更像獻祭陣，用於把修士的精血、神魂和大道感悟打包送出。,region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,催熟仙緣,上界偶爾降下的「仙緣」總會誘導修士更快突破，像飼主投餵催熟之物。,insight
fake_sky_1,fake_sky,1,星辰錯位,天空有時會在極短瞬間閃爍，星辰的位置會出現不合天象規律的錯位。,insight
fake_sky_2,fake_sky,2,不可見壁障,高階修士衝擊飛昇時，並非無法抵達天外，而是在某個高度撞上一層不可見壁障。,region
fake_sky_3,fake_sky,3,古籍星圖,古書中記載的星圖與今夜星空完全不同，但地脈、山河與宗門方位卻能一一對應。,city
fake_sky_4,fake_sky,4,天外殘骸,偏遠鄉野曾有人撿到「天外來客」的殘骸，那殘骸不像血肉，倒像由玉、鐵與透明晶片拼合而成。,region
fake_sky_5,fake_sky,5,投影延遲,某些秘境中的天空和外界天空存在數息延遲，彷彿兩處投影由不同陣盤驅動。,city
fake_sky_6,fake_sky,6,符線天幕,極少數悟道者在瀕死時看見天空背後有無數細密符線，日月星辰只是符線上的光點。,insight
mad_heavenly_dao_1,mad_heavenly_dao,1,規律扭曲,世界規律有時會詭異扭曲，同一株靈草在不同日子會呈現完全相反的藥性。,region
mad_heavenly_dao_2,mad_heavenly_dao,2,蒼白巨眼,通玄境界以上的真人常做同一個噩夢：蒼白巨眼在天穹深處哭笑不止。,insight
mad_heavenly_dao_3,mad_heavenly_dao,3,劫雷異常,近百年劫雷出現異常，有德者被雷劈至魂飛魄散，惡徒卻偶爾被劫雷洗煉成聖體。,city
mad_heavenly_dao_4,mad_heavenly_dao,4,扶乩囈語,古代祭天文書中，天道回應簡潔而莊嚴；近代扶乩所得卻充斥重複、錯字和無意義囈語。,city
mad_heavenly_dao_5,mad_heavenly_dao,5,因果打結,有人以因果秘術追索仇敵，結果線索繞回自己出生之前，彷彿因果線被胡亂打結。,insight
mad_heavenly_dao_6,mad_heavenly_dao,6,天道病碑,某處古碑記錄：「天道非死，非惡，乃病。病者夢中造世，醒時滅世。」,region
simulated_world_code_1,simulated_world_code,1,來歷空白,有時世界會突然出現來歷不明的修士，他們擁有完整身份，卻沒有任何人記得他們成長的過程。,city
simulated_world_code_2,simulated_world_code,2,記憶篡改,修士常發現自己的記憶被微妙篡改，例如昨日所修功法、親友姓名、宗門歷史發生細小差異。,insight
simulated_world_code_3,simulated_world_code,3,天地暫停,某些瀕死者聲稱看見天地暫停，所有人凝固不動，只有無數細小文字在空中滾動。,insight
simulated_world_code_4,simulated_world_code,4,異常符號,天機術士推演命數時偶爾會得到非卦象文字，例如「null」「retry」「seed」「invalid state」之類不可解釋的符號。,city
simulated_world_code_5,simulated_world_code,5,奇異晶板,極少數靈寶內部沒有陣法核心，只有一塊刻滿微小方格與金屬線路的奇異晶板。,region
simulated_world_code_6,simulated_world_code,6,世界遲滯,當大量重大事件同月發生時，世界會短暫遲滯，鳥停在半空，河水像一幀一幀向前跳動。,region
spiritual_qi_is_dead_memories_1,spiritual_qi_is_dead_memories,1,經脈哭笑,深夜吐納時，有修士偶爾會聽見陌生人的哭聲、笑聲與臨終呼喊從經脈中掠過。,insight
spiritual_qi_is_dead_memories_2,spiritual_qi_is_dead_memories,2,古戰場靈氣,古戰場靈氣最盛，但那裡並無靈脈，只埋著無數凡人和修士屍骨。,region
spiritual_qi_is_dead_memories_3,spiritual_qi_is_dead_memories,3,陌生記憶,某些閉關者突破後會突然掌握自己從未學過的方言、手藝或舊日記憶。,insight
spiritual_qi_is_dead_memories_4,spiritual_qi_is_dead_memories,4,靈石人影,煉化高純靈石時，石中會浮現極淡人影，像是許多面孔被壓縮在一塊晶體裡。,city
spiritual_qi_is_dead_memories_5,spiritual_qi_is_dead_memories,5,淨化枯竭,亡魂禁地一旦被徹底淨化，周圍靈氣並不會變純，反而迅速枯竭。,region
spiritual_qi_is_dead_memories_6,spiritual_qi_is_dead_memories,6,魂修遺言,一位古代魂修留下遺言：「莫問靈氣從何而來。你每一次呼吸，皆是萬萬人第二次死亡。」,city
sects_on_colossal_corpses_1,sects_on_colossal_corpses,1,白色礦層,多個宗門地下深處都有形似骨骼的白色礦層，堅不可摧，且會在月夜微微發熱。,region
sects_on_colossal_corpses_2,sects_on_colossal_corpses,2,地脈經絡,地脈圖連起來不像山河走勢，更像某種龐大生物的經絡與血管。,city
sects_on_colossal_corpses_3,sects_on_colossal_corpses,3,泛紅靈泉,某些靈泉偶爾泛紅，水中帶有淡淡腥味，卻能極大提升修為。,region
sects_on_colossal_corpses_4,sects_on_colossal_corpses,4,仙山心跳,古籍稱「仙山有脈，脈有心跳」，但後世註釋總把「心跳」解釋為靈氣潮汐。,city
sects_on_colossal_corpses_5,sects_on_colossal_corpses,5,鎮脈喘息,宗門大陣每隔數百年必須「鎮脈」，否則地下會傳出沉悶喘息。,insight
sects_on_colossal_corpses_6,sects_on_colossal_corpses,6,山腹眼眶,一位盜墓修士在山腹中挖到巨大眼眶，眼眶裡殘存的瞳膜映出了如今所有宗門的位置。,region
reincarnation_is_copying_1,reincarnation_is_copying,1,無魂氣息,轉世者常擁有前世記憶，卻沒有前世魂魄應有的氣息，像是一卷被重新抄寫的書。,city
reincarnation_is_copying_2,reincarnation_is_copying,2,陰司玉簡,陰司遺跡中沒有輪迴通道，只有無數刻著姓名、生辰、性情、因果的空白玉簡。,region
reincarnation_is_copying_3,reincarnation_is_copying,3,重複魂影,招魂術能招來「前世魂影」，但魂影被追問未記錄的問題時會陷入重複回答。,insight
reincarnation_is_copying_4,reincarnation_is_copying,4,三人同世,某位修士見到三個自稱為同一前世轉生的人，三者記憶各有缺漏，卻都能通過天機驗證。,city
