id,title,secret,weight
ID,標題,完整秘密,隨機權重
none,無,,0
upper_world_feeds_on_ascenders,上界大能以飛昇修士為血食,所謂飛昇並不是超脫，而是進入上界大能的牧場；此界修士修至巔峰，只是被養熟的靈藥與血食。,10
fake_sky,本世界的天空是虛假的,天空並非自然天穹，而是一層巨大偽裝屏障；日月星辰只是投影，真正的世界被封閉在某個容器或牢籠之中。,10
mad_heavenly_dao,天道意志瘋了,維持此界秩序的天道意志已經失常；劫雷、氣運、因果、壽數仍在運行，卻越來越像一個瘋癲之物的抽搐。,10
simulated_world_code,世界是電腦中的一組模擬代碼,修仙世界是一場模擬，靈氣、境界、命運、事件都由某種不可見代碼驅動；修士所謂悟道，只是觸碰到了規則介面。,10
spiritual_qi_is_dead_memories,靈氣其實是死者的記憶,天地靈氣並非自然生成，而是歷代生靈死後的記憶被磨碎、稀釋後的殘響；修士吸納靈氣，本質是在吞食無數亡者的殘夢。,10
sects_on_colossal_corpses,所有宗門都建在巨獸屍體上,此界名山大川並非天然形成，而是遠古巨獸屍骸風化後的外殼；各大宗門的靈脈，其實是巨獸未冷的骨髓與經絡。,10
reincarnation_is_copying,輪迴並不存在，轉世只是複製,世人相信魂魄輪迴，但所謂轉世只是天道根據殘留資訊製造的複製品；真正的死者從未歸來。,10
yao_are_previous_humans,妖族其實是上一紀元的人族,妖族並非異類，而是上一紀元人族在世界重置中扭曲殘存的後裔；所謂人妖之爭，是失憶後的同族相殘。,10
realms_are_artificial_shackles,修煉境界是人為設置的枷鎖,練氣、築基、金丹、元嬰等境界並非自然大道，而是遠古存在為限制修士成長而人為劃分的等級鎖。,10
moon_is_an_eye,月亮是一顆注視此界的眼睛,月亮並非星辰，而是一隻懸在天外的巨大眼睛；月華是它的視線，修士吸收月華便會被它逐漸記錄和標記。,10
secret_realms_are_tumors,秘境是世界長出的腫瘤,秘境並非洞天福地，而是世界規則錯誤增生形成的病灶；修士進入秘境尋寶，等於在世界病變組織中採食。,10
dead_gods_answer_prayers,諸天神佛早已死亡，回應祈禱的是它們的屍體,世間祭祀能感應到的神佛並非活著的神明，而是遠古神屍殘留的自動反應；信徒越多，屍體越會重新抽搐。,10
