id,secret_id,order,angle,text,trigger_kind
ID,Secret ID,Order,Fragment angle,Fragment text,Trigger type
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,No Ascender Returns,"Ascended cultivators have never truly returned. Sect records only mention rosy clouds receiving them, yet no one has ever left a message from the upper realm.",city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,Face in the Firmament,"After one ascension tribulation, a vast face briefly appeared in the sky, as if looking down at offerings through the clouds.",insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,Bone Ash under the Ascension Platform,"Large amounts of charred bone powder are buried beneath an ancient ascension platform. Examination shows they are not demon beast remains, but scraps of high-realm cultivators' dao bones.",region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,The Failed Ancestor,"An ancestor who failed to ascend spent years in madness, repeating only: 'Beyond the door is not the immortal realm. It is the space between teeth.'",city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,Sacrificial Array Lines,"Some ascension ritual patterns are not structures of 'rising' at all, but resemble sacrificial arrays that package essence blood, soul, and dao insight for delivery.",region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,Ripening Immortal Favors,"The 'immortal opportunities' that sometimes descend from the upper realm always lure cultivators into faster breakthroughs, like feed scattered by a keeper to hasten ripening.",insight
fake_sky_1,fake_sky,1,Misaligned Stars,"The sky sometimes flickers for the briefest instant, and the positions of the stars slip into arrangements that violate celestial patterns.",insight
fake_sky_2,fake_sky,2,Invisible Barrier,"When high-realm cultivators attempt ascension, it is not that they cannot reach beyond the sky; at a certain height, they strike an unseen wall.",region
fake_sky_3,fake_sky,3,Ancient Star Charts,"Star charts recorded in old books are utterly unlike tonight's sky, yet ley lines, mountains, rivers, and sect positions still correspond one by one.",city
fake_sky_4,fake_sky,4,Wreckage from Beyond the Sky,"In a remote countryside, someone once found remains of a 'visitor from beyond the sky'. They were not flesh, but pieces joined from jade, iron, and clear crystal plates.",region
fake_sky_5,fake_sky,5,Projection Delay,"The sky inside certain secret realms lags several breaths behind the outer sky, as though two projections were driven by different array disks.",city
fake_sky_6,fake_sky,6,Rune-Lined Firmament,"A very few who neared death in enlightenment saw countless fine rune lines behind the sky; sun, moon, and stars were only points of light upon those lines.",insight
mad_heavenly_dao_1,mad_heavenly_dao,1,Twisted Laws,The laws of the world sometimes twist strangely; the same spirit herb can show entirely opposite medicinal properties on different days.,region
mad_heavenly_dao_2,mad_heavenly_dao,2,Pale Great Eye,"True Persons above the Tongxuan realm often share the same nightmare: a pale great eye deep in the firmament, laughing and crying without end.",insight
mad_heavenly_dao_3,mad_heavenly_dao,3,Abnormal Tribulation Lightning,"For the past century, tribulation lightning has gone wrong: the virtuous are sometimes blasted to soul-death, while villains are occasionally refined into sacred bodies.",city
mad_heavenly_dao_4,mad_heavenly_dao,4,Planchette Gibberish,"Ancient documents of sacrifice to Heaven record responses that were brief and solemn; modern planchette messages are full of repetition, errors, and meaningless babble.",city
