id,secret_id,order,angle,text,trigger_kind
ID,ID bí mật,Thứ tự,Góc mảnh,Nội dung mảnh,Kiểu kích hoạt
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,Phi thăng không trở lại,"Tu sĩ phi thăng chưa từng thật sự quay về. Điển tịch tông môn chỉ ghi 'ráng mây tiếp dẫn', nhưng không ai để lại lời truyền từ thượng giới.",city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,Gương mặt trên màn trời,"Sau một lần lôi kiếp phi thăng, trên màn trời từng thoáng hiện một gương mặt khổng lồ, như đang cúi nhìn vật tế qua tầng mây.",insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,Bột xương dưới đài phi thăng,"Dưới đài phi thăng cổ chôn rất nhiều bột xương cháy đen; nhận định cho thấy không phải yêu thú, mà là cặn đạo cốt của tu sĩ cao giai.",region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,Lão tổ thất bại,"Một lão tổ phi thăng thất bại điên dại nhiều năm, chỉ lặp đi lặp lại: 'Sau cánh cửa không phải tiên giới, mà là kẽ răng.'",city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,Trận văn hiến tế,"Một số trận văn trong nghi thức phi thăng không phải cấu trúc 'đi lên', mà giống trận hiến tế dùng để gói tinh huyết, thần hồn và cảm ngộ Đại Đạo của tu sĩ rồi gửi đi.",region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,Tiên duyên thúc chín,"Những 'tiên duyên' thượng giới thỉnh thoảng ban xuống luôn dẫn dụ tu sĩ đột phá nhanh hơn, như chủ nuôi rải thức ăn thúc chín.",insight
fake_sky_1,fake_sky,1,Sao trời lệch vị,"Bầu trời đôi khi lóe lên trong khoảnh khắc cực ngắn, vị trí các vì sao xuất hiện sai lệch trái với quy luật thiên tượng.",insight
fake_sky_2,fake_sky,2,Vách chắn vô hình,"Khi tu sĩ cao giai xung kích phi thăng, không phải họ không tới được ngoài trời, mà là va vào một lớp vách chắn vô hình ở độ cao nào đó.",region
fake_sky_3,fake_sky,3,Tinh đồ cổ thư,"Tinh đồ trong sách cổ hoàn toàn khác bầu trời đêm nay, nhưng địa mạch, núi sông và phương vị tông môn lại đối ứng từng điểm.",city
fake_sky_4,fake_sky,4,Xác vụn ngoài trời,"Nơi thôn quê xa xôi từng có người nhặt được tàn hài của 'khách đến từ ngoài trời'; nó không giống máu thịt, mà như ghép từ ngọc, sắt và phiến tinh thể trong suốt.",region
fake_sky_5,fake_sky,5,Độ trễ hình chiếu,"Bầu trời trong một số bí cảnh chậm hơn bầu trời bên ngoài vài nhịp thở, như thể hai nơi được vận hành bởi hai trận bàn chiếu ảnh khác nhau.",city
fake_sky_6,fake_sky,6,Màn trời bằng phù tuyến,"Rất ít người ngộ đạo lúc cận tử nhìn thấy sau bầu trời có vô số phù tuyến mảnh; mặt trời, mặt trăng và sao chỉ là điểm sáng trên những đường ấy.",insight
mad_heavenly_dao_1,mad_heavenly_dao,1,Quy luật méo mó,Quy luật thế giới đôi khi vặn vẹo kỳ dị; cùng một cây linh thảo ở những ngày khác nhau có thể hiện dược tính hoàn toàn trái ngược.,region
mad_heavenly_dao_2,mad_heavenly_dao,2,Con mắt lớn nhợt nhạt,Chân nhân từ cảnh giới Thông Huyền trở lên thường mơ cùng một ác mộng: con mắt khổng lồ nhợt nhạt trong sâu thẳm thiên khung vừa khóc vừa cười không dứt.,insight
mad_heavenly_dao_3,mad_heavenly_dao,3,Kiếp lôi bất thường,"Gần trăm năm nay kiếp lôi xuất hiện bất thường: người có đức bị đánh đến hồn phi phách tán, kẻ ác lại đôi lúc được kiếp lôi rèn thành thánh thể.",city
mad_heavenly_dao_4,mad_heavenly_dao,4,Lời cơ bút mê sảng,"Văn thư tế trời cổ đại ghi lời đáp của Thiên Đạo giản dị mà trang nghiêm; cơ bút đời gần đây lại đầy lặp lại, lỗi chữ và lời mê sảng vô nghĩa.",city
mad_heavenly_dao_5,mad_heavenly_dao,5,Nhân quả thắt nút,"Có người dùng bí thuật nhân quả truy tìm kẻ thù, kết quả manh mối vòng về trước cả khi chính mình ra đời, như thể dây nhân quả bị buộc nút bừa bãi.",insight
mad_heavenly_dao_6,mad_heavenly_dao,6,Bia bệnh của Thiên Đạo,"Một cổ bia ghi: 'Thiên Đạo không chết, không ác, mà bệnh. Kẻ bệnh trong mộng tạo thế, khi tỉnh diệt thế.'",region
simulated_world_code_1,simulated_world_code,1,Lai lịch trống rỗng,"Đôi khi thế giới đột nhiên xuất hiện tu sĩ không rõ lai lịch; họ có thân phận đầy đủ, nhưng không ai nhớ quá trình họ trưởng thành.",city
simulated_world_code_2,simulated_world_code,2,Ký ức bị sửa đổi,"Tu sĩ thường phát hiện ký ức của mình bị sửa đổi vi tế, như công pháp tu hôm qua, tên thân hữu hay lịch sử tông môn có sai khác nhỏ.",insight
simulated_world_code_3,simulated_world_code,3,Trời đất tạm dừng,"Một số người cận tử nói đã thấy trời đất dừng lại, mọi người đông cứng bất động, chỉ có vô số chữ nhỏ cuộn trong không trung.",insight
simulated_world_code_4,simulated_world_code,4,Ký hiệu dị thường,"Khi thuật sĩ thiên cơ suy diễn mệnh số, đôi lúc nhận được chữ không phải quẻ tượng như 'null', 'retry', 'seed', 'invalid state'.",city
simulated_world_code_5,simulated_world_code,5,Tinh bản kỳ dị,"Rất ít linh bảo bên trong không có lõi trận pháp, chỉ có một tấm tinh bản kỳ lạ khắc đầy ô nhỏ và mạch kim loại.",region
simulated_world_code_6,simulated_world_code,6,Thế giới khựng lại,"Khi nhiều sự kiện trọng đại xảy ra trong cùng tháng, thế giới ngắn ngủi trì trệ: chim dừng giữa không trung, nước sông nhảy từng khung hình.",region
spiritual_qi_is_dead_memories_1,spiritual_qi_is_dead_memories,1,Khóc cười trong kinh mạch,"Khi thổ nạp đêm khuya, có tu sĩ đôi lúc nghe tiếng khóc, tiếng cười và tiếng kêu lâm chung của người lạ lướt qua kinh mạch.",insight
spiritual_qi_is_dead_memories_2,spiritual_qi_is_dead_memories,2,Linh khí cổ chiến trường,"Cổ chiến trường có linh khí thịnh nhất, nhưng nơi đó không có linh mạch, chỉ chôn vô số xương cốt phàm nhân và tu sĩ.",region
spiritual_qi_is_dead_memories_3,spiritual_qi_is_dead_memories,3,Ký ức xa lạ,"Một số người bế quan sau khi đột phá bỗng nắm được phương ngữ, tay nghề hoặc ký ức cũ mà mình chưa từng học.",insight
spiritual_qi_is_dead_memories_4,spiritual_qi_is_dead_memories,4,Bóng người trong linh thạch,"Khi luyện hóa linh thạch tinh khiết cao, trong đá hiện bóng người rất nhạt, như nhiều gương mặt bị nén trong một khối tinh thể.",city
spiritual_qi_is_dead_memories_5,spiritual_qi_is_dead_memories,5,Thanh tẩy gây cạn kiệt,"Một khi cấm địa vong hồn được thanh tẩy triệt để, linh khí xung quanh không tinh sạch hơn mà nhanh chóng cạn kiệt.",region
spiritual_qi_is_dead_memories_6,spiritual_qi_is_dead_memories,6,Di ngôn hồn tu,Một hồn tu cổ đại để lại di ngôn: 'Đừng hỏi linh khí từ đâu mà đến. Mỗi hơi thở của ngươi đều là cái chết thứ hai của muôn vạn người.',city
sects_on_colossal_corpses_1,sects_on_colossal_corpses,1,Tầng khoáng trắng,"Dưới sâu nhiều tông môn có tầng khoáng trắng giống xương, không thể phá hủy, đêm trăng còn hơi tỏa nhiệt.",region
sects_on_colossal_corpses_2,sects_on_colossal_corpses,2,Kinh lạc địa mạch,"Nối các bản đồ địa mạch lại, chúng không giống thế núi sông mà giống kinh lạc và mạch máu của sinh vật khổng lồ.",city
sects_on_colossal_corpses_3,sects_on_colossal_corpses,3,Linh tuyền ửng đỏ,"Một số linh tuyền đôi khi ửng đỏ, nước có mùi tanh nhạt nhưng lại tăng tu vi cực mạnh.",region
sects_on_colossal_corpses_4,sects_on_colossal_corpses,4,Nhịp tim tiên sơn,"Cổ tịch nói 'tiên sơn có mạch, mạch có nhịp tim', nhưng chú giải đời sau luôn giải thích 'nhịp tim' là triều linh khí.",city
sects_on_colossal_corpses_5,sects_on_colossal_corpses,5,Hơi thở trấn mạch,"Đại trận tông môn vài trăm năm phải 'trấn mạch' một lần, nếu không dưới đất sẽ truyền ra tiếng thở nặng nề.",insight
sects_on_colossal_corpses_6,sects_on_colossal_corpses,6,Hốc mắt trong lòng núi,Một tu sĩ trộm mộ đào được hốc mắt khổng lồ trong bụng núi; màng đồng tử còn sót phản chiếu vị trí mọi tông môn hiện nay.,region
reincarnation_is_copying_1,reincarnation_is_copying,1,Khí tức không hồn,"Người chuyển thế thường có ký ức kiếp trước nhưng không có khí tức hồn phách tương ứng, như một cuốn sách được chép lại.",city
reincarnation_is_copying_2,reincarnation_is_copying,2,Ngọc giản âm ty,"Trong di tích âm ty không có lối luân hồi, chỉ có vô số ngọc giản trống khắc tên họ, ngày sinh, tính tình và nhân quả.",region
reincarnation_is_copying_3,reincarnation_is_copying,3,Hồn ảnh lặp lại,"Chiêu hồn thuật gọi được 'hồn ảnh kiếp trước', nhưng khi bị hỏi chuyện chưa ghi lại, hồn ảnh sẽ lặp đi lặp lại câu trả lời.",insight
reincarnation_is_copying_4,reincarnation_is_copying,4,Ba người cùng kiếp,Một tu sĩ gặp ba người tự xưng chuyển thế từ cùng một kiếp trước; ký ức mỗi người đều thiếu khác nhau nhưng đều qua được thiên cơ kiểm chứng.,city
reincarnation_is_copying_5,reincarnation_is_copying,5,Bút ký minh tu,"Bút ký minh tu cổ viết: 'Luân hồi không phải dòng sông, mà là bản in; hồn không trở về, chữ được khắc lại.'",region
