id,title,secret,weight
ID,标题,完整秘密,随机权重
none,无,,0
upper_world_feeds_on_ascenders,上界大能以飞升修士为血食,所谓飞升并不是超脱，而是进入上界大能的牧场；此界修士修至巅峰，只是被养熟的灵药与血食。,10
fake_sky,本世界的天空是虚假的,天空并非自然天穹，而是一层巨大伪装屏障；日月星辰只是投影，真正的世界被封闭在某个容器或牢笼之中。,10
mad_heavenly_dao,天道意志疯了,维持此界秩序的天道意志已经失常；劫雷、气运、因果、寿数仍在运行，却越来越像一个疯癫之物的抽搐。,10
simulated_world_code,世界是计算机中的一组模拟代码,修仙世界是一场模拟，灵气、境界、命运、事件都由某种不可见代码驱动；修士所谓悟道，只是触碰到了规则接口。,10
spiritual_qi_is_dead_memories,灵气其实是死者的记忆,天地灵气并非自然生成，而是历代生灵死后的记忆被磨碎、稀释后的残响；修士吸纳灵气，本质是在吞食无数亡者的残梦。,10
sects_on_colossal_corpses,所有宗门都建在巨兽尸体上,此界名山大川并非天然形成，而是远古巨兽尸骸风化后的外壳；各大宗门的灵脉，其实是巨兽未冷的骨髓与经络。,10
reincarnation_is_copying,轮回并不存在，转世只是复制,世人相信魂魄轮回，但所谓转世只是天道根据残留信息制造的复制品；真正的死者从未归来。,10
yao_are_previous_humans,妖族其实是上一纪元的人族,妖族并非异类，而是上一纪元人族在世界重置中扭曲残存的后裔；所谓人妖之争，是失忆后的同族相残。,10
realms_are_artificial_shackles,修炼境界是人为设置的枷锁,练气、筑基、金丹、元婴等境界并非自然大道，而是远古存在为限制修士成长而人为划分的等级锁。,10
moon_is_an_eye,月亮是一颗注视此界的眼睛,月亮并非星辰，而是一只悬在天外的巨大眼睛；月华是它的视线，修士吸收月华便会被它逐渐记录和标记。,10
secret_realms_are_tumors,秘境是世界长出的肿瘤,秘境并非洞天福地，而是世界规则错误增生形成的病灶；修士进入秘境寻宝，等于在世界病变组织中采食。,10
dead_gods_answer_prayers,诸天神佛早已死亡，回应祈祷的是它们的尸体,世间祭祀能感应到的神佛并非活着的神明，而是远古神尸残留的自动反应；信徒越多，尸体越会重新抽搐。,10
